studyID,icerID,uniqueID,firstAuthor,pubYear,title,country,income,asiaPacific,intervention,comparator,comparison,doseNum,baseCase,perspective,currencyName,currencyCountry,priceYear,priceIntvNCU,priceIntvUSD,priceCompNCU,priceCompUSD,herdEffects,seroReplace,efficacyPneum,efficacyIPD,efficacyOtitis,icerMetric,icerNCU,icerUSD,costSaving,gdppc,gdp1decide,gdp3decide,icerGdppc,OHgdppc,OHdecide,OLgdppc,OLdecide,WHgdppc,WHdecide,WLgdppc,WLdecide,RHgdppc,RHdecide,RLgdppc,RLdecide,studyThreshold,studyDecide,switchOH,switchOL,switchWH,switchWL,switchRH,switchRL,switches,budgetImpact,funding
1,1,101,Che,2014,Modeling the impact of the 7-valent pneumococcal conjugate v,China,Upper-middle,1,PCV7,NoVax,PCV7 vs NoVax,Three,1,Societal,US dollar,United States,2011,127,127,,,0,0,1,1,1,QALY gained,530354,530354,0,5614,Not cost-effective,Not cost-effective,94.46,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,One/Three GPDpc,Not cost-effective,,,,,,,0,0,Non-profit
1,2,102,Che,2014,Modeling the impact of the 7-valent pneumococcal conjugate v,China,Upper-middle,1,PCV7,NoVax,PCV7 vs NoVax,Three,0,Societal,US dollar,United States,2011,127,127,,,1,0,1,1,1,QALY gained,95319,95319,0,5614,Not cost-effective,Not cost-effective,16.98,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,One/Three GPDpc,Not cost-effective,,,,,,,0,0,Non-profit
2,1,201,Caldwell,2015,The health and economic impact of vaccination with 7-valent ,China,Upper-middle,1,PCV7,NoVax,PCV7 vs NoVax,Four,1,Healthcare/payer,Chinese yuan,China,2011,860,133.1,,,1,0,1,1,1,QALY gained,13737,2206,0,5614,Cost-effective,Cost-effective,0.39,0.71,Cost-effective,0.45,Cost-effective,0.648116898,Cost-effective,0.163952209,Not cost-effective,0.902715505,Cost-effective,0.374118744,Not cost-effective,Three GDPpc,Cost-effective,0,0,0,1,0,1,2,0,Industry
3,1,301,Maurer,2016,Cost-effectiveness analysis of pneumococcal vaccination for ,China,Upper-middle,1,PCV7,NoVax,PCV7 vs NoVax,Unknown,1,Societal,US dollar,United States,2014,146,146,,,0,0,1,1,1,QALY gained,18224,18224,0,7636,Not cost-effective,Cost-effective,2.39,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,Three GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Non-profit
3,2,302,Maurer,2016,Cost-effectiveness analysis of pneumococcal vaccination for ,China,Upper-middle,1,PCV10,NoVax,PCV10 vs NoVax,Unknown,1,Societal,US dollar,United States,2014,146,146,,,0,0,1,1,1,QALY gained,16664,16664,0,7636,Not cost-effective,Cost-effective,2.18,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,Three GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Non-profit
3,3,303,Maurer,2016,Cost-effectiveness analysis of pneumococcal vaccination for ,China,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Unknown,1,Societal,US dollar,United States,2014,146,146,,,0,0,1,1,1,QALY gained,11436,11436,0,7636,Not cost-effective,Cost-effective,1.5,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,Three GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Non-profit
4,1,401,Mo,2016,Cost-effectiveness and health benefits of pediatric 23-valen,China,Upper-middle,1,PCV7,NoVax,PCV7 vs NoVax,Four,1,Societal,US dollar,United States,2015,58,58,,,1,0,1,1,1,QALY gained,104094,104094,0,8016,Not cost-effective,Not cost-effective,12.99,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,Three GDPpc,Not cost-effective,,,,,,,0,0,None
4,2,402,Mo,2016,Cost-effectiveness and health benefits of pediatric 23-valen,China,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,1,Societal,US dollar,United States,2015,58,58,,,1,0,1,1,1,QALY gained,29460,29460,0,8016,Not cost-effective,Not cost-effective,3.67,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,Three GDPpc,Not cost-effective,,,,,,,0,0,None
5,1,501,Shen,2018,Estimating the cost-effectiveness of an infant 13-valent pne,China,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,1,Healthcare/payer,Chinese yuan,China,2015,698,112.1,,,0,0,1,1,1,QALY gained,79304,12735,0,8016,Not cost-effective,Cost-effective,1.59,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,Two GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Industry
5,2,502,Shen,2018,Estimating the cost-effectiveness of an infant 13-valent pne,China,Upper-middle,1,PCV13,NoVax,PCV13 vs NoVax,Four,1,Healthcare/payer,Chinese yuan,China,2015,698,112.1,,,1,0,1,1,1,QALY gained,76551,12292,0,8016,Not cost-effective,Cost-effective,1.53,0.71,Not cost-effective,0.45,Not cost-effective,0.648116898,Not cost-effective,0.163952209,Not cost-effective,0.902715505,Not cost-effective,0.374118744,Not cost-effective,Two GDPpc,Cost-effective,1,1,1,1,1,1,6,0,Industry
